GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Notification_Service,com.app.team2.technotribe.krasvbank.config,MailConfig,0,44,0,0,0,12,0,2,0,2
Notification_Service,com.app.team2.technotribe.krasvbank.controller,NotificationController,0,10,0,0,0,4,0,2,0,2
Notification_Service,com.app.team2.technotribe.krasvbank,Application,25,0,0,0,8,0,3,0,3,0
Notification_Service,com.app.team2.technotribe.krasvbank.service.impl,EmailServiceImpl,64,43,0,0,16,14,1,5,1,5
